cyclomatic_complexity,number_of_instructions,has_methode_onReceive,is_code_smell
6.0,23.0,1.0,False
8.0,30.0,1.0,False
6.0,21.0,1.0,False
5.0,24.0,0.0,False
4.0,22.0,0.0,False
5.0,22.0,0.0,False
3.0,23.0,1.0,False
6.0,45.0,0.0,False
8.0,41.0,0.0,False
3.0,23.0,0.0,False
7.0,48.0,0.0,False
6.0,32.0,0.0,False
7.0,33.0,0.0,False
7.0,24.0,0.0,False
4.0,19.0,0.0,False
7.0,29.0,1.0,False
7.0,39.0,1.0,False
11.0,30.0,1.0,False
7.0,19.0,1.0,False
6.0,39.0,0.0,False
8.0,28.0,1.0,False
5.0,26.0,1.0,False
8.0,50.0,0.0,False
3.0,19.0,1.0,False
7.0,35.0,0.0,False
8.0,34.0,0.0,False
3.0,19.0,0.0,False
7.0,50.0,0.0,False
7.0,28.0,1.0,False
4.0,26.0,0.0,False
5.0,17.0,1.0,False
7.0,18.0,0.0,False
6.0,27.0,1.0,False
8.0,19.0,1.0,False
11.0,45.0,0.0,False
8.0,64.0,1.0,False
3.0,18.0,0.0,False
2.0,24.0,0.0,False
4.0,17.0,0.0,False
8.0,25.0,0.0,False
4.0,30.0,0.0,False
8.0,27.0,0.0,False
9.0,36.0,0.0,False
7.0,37.0,0.0,False
9.0,54.0,1.0,False
9.0,20.0,1.0,False
9.0,171.0,1.0,True
7.0,115.0,1.0,True
9.0,132.0,1.0,True
8.0,60.0,1.0,True
5.0,40.0,1.0,True
8.0,41.0,1.0,True
4.0,23.0,1.0,True
9.0,65.0,1.0,True
5.0,35.0,1.0,True
5.0,23.0,1.0,True
7.0,45.0,1.0,True
10.0,35.0,1.0,True
14.0,89.0,1.0,True
9.0,53.0,1.0,True
11.0,45.0,1.0,True
6.0,22.0,1.0,True
8.0,31.0,1.0,True
5.0,20.0,1.0,True
10.0,31.0,1.0,True
9.0,29.0,1.0,True
4.0,28.0,1.0,True
8.0,31.0,1.0,True
4.0,64.0,1.0,True
7.0,47.0,1.0,True
4.0,21.0,1.0,True
10.0,110.0,1.0,True
7.0,46.0,1.0,True
7.0,41.0,1.0,True
17.0,85.0,1.0,True
6.0,24.0,1.0,True
7.0,167.0,1.0,True
8.0,50.0,1.0,True
6.0,18.0,1.0,True
16.0,112.0,1.0,True
6.0,33.0,1.0,True
45.0,8.0,1.0,True
42.0,6.0,1.0,True
38.0,5.0,1.0,True
90.0,8.0,1.0,True
22.0,5.0,1.0,True
45.0,8.0,1.0,True
38.0,5.0,1.0,True
34.0,4.0,1.0,True
17.0,5.0,1.0,True
28.0,6.0,1.0,True
36.0,7.0,1.0,True
